"id","лемма","часть_речи","ipm","R","D","текстов","также_собственное"
33746,"присмотр","s",5.8,97,94,413,""
33747,"присмотреть","v",3.8,85,92,254,""
33748,"присмотреться","v",7.8,97,93,460,""
33749,"присниться","v",13.9,94,91,639,""
33750,"присно","adv",0.8,26,67,48,""
33751,"приснопамятный","a",0.6,34,82,51,""
33752,"присный","a",0.4,22,68,24,""
33753,"присобачить","v",0.6,33,81,43,""
33754,"присоветовать","v",0.8,37,84,53,""
33755,"присовокупить","v",1.2,60,89,93,""
33756,"присоединение","s",9,80,80,414,""
33757,"присоединить","v",5.2,96,92,330,""
33758,"присоединиться","v",17.1,100,95,995,""
33759,"присоединять","v",1.1,55,85,87,""
33760,"присоединяться","v",7.4,100,91,488,""
33761,"присосаться","v",1.3,54,86,89,""
33762,"присоска","s",0.5,31,83,36,""
33763,"присосок","s",0.5,26,79,35,""
33764,"присохнуть","v",1,41,84,72,""
33765,"присочинить","v",0.5,37,85,42,""
33766,"приспеть","v",0.6,29,79,39,""
33767,"приспешник","s",0.9,43,83,58,""
33768,"приспичить","v",2,63,87,141,""
33769,"приспосабливать","v",1.4,64,90,115,""
33770,"приспосабливаться","v",4.3,91,92,311,""
33771,"приспособительный","a",0.4,10,63,14,""
33772,"приспособить","v",12.6,100,96,798,""
33773,"приспособиться","v",5.6,97,94,388,""
33774,"приспособленец","s",0.7,35,82,48,""
33775,"приспособление","s",11.1,98,91,617,""
33776,"приспособленность","s",0.6,28,79,40,""
33777,"приспособленчество","s",0.6,33,82,41,""
33778,"приспособляемость","s",0.5,28,78,37,""
33779,"приспустить","v",1.5,54,88,105,""
33780,"пристав","s",7.5,71,81,211,""
33781,"приставание","s",0.8,41,85,59,""
33782,"приставать","v",11.1,94,92,608,""
33783,"пристав-исполнитель","s",4.6,16,65,50,""
33784,"приставить","v",8.5,94,92,478,""
33785,"приставка","s",2.7,77,90,186,""
33786,"приставлять","v",1.1,53,86,82,""
33787,"приставной","a",1.4,50,83,81,""
33788,"пристально","adv",14.4,96,91,678,""
33789,"пристальность","s",0.4,26,81,34,""
33790,"пристальный","a",11.1,99,95,753,""
33791,"пристанище","s",4.1,91,92,273,""
33792,"пристанционный","a",0.5,30,79,34,""
33793,"пристань","s",10.9,96,84,298,""
33794,"пристать","v",8.9,95,92,531,""
33795,"приствольный","a",0.5,20,69,24,""
33796,"пристегивать","v",0.6,39,85,50,""
33797,"пристегиваться","v",0.4,32,84,38,""
33798,"пристегнуть","v",3.3,83,92,220,""
33799,"пристегнуться","v",0.7,33,81,50,""
33800,"пристенок","s",1.7,18,14,19,""
33801,"пристойно","adv",1.2,61,89,97,""
33802,"пристойный","a",2.3,73,91,170,""
33803,"пристраивать","v",1.7,74,92,143,""
33804,"пристраиваться","v",1.8,68,90,146,""
33805,"пристрастие","s",13.1,98,94,841,""
33806,"пристраститься","v",2.1,76,90,156,""
33807,"пристрастно","adv",0.5,34,84,40,""
33808,"пристрастность","s",0.4,20,73,26,""
33809,"пристрастный","a",1.9,73,90,142,""
33810,"пристреливать","v",0.5,28,78,38,""
33811,"пристрелить","v",4.5,84,89,244,""
33812,"пристрелка","s",0.5,28,79,37,""
33813,"пристрелять","v",0.6,25,78,37,""
33814,"пристроенный","a",0.4,29,83,33,""
33815,"пристроить","v",8.9,95,93,522,""
33816,"пристроиться","v",6.7,85,91,408,""
33817,"пристройка","s",2.8,77,90,170,""
33818,"приструнить","v",0.9,52,88,72,""
33819,"пристукивать","v",0.4,22,79,31,""
33820,"пристукнуть","v",1,44,85,79,""
33821,"приступ","s",20.3,98,94,871,""
33822,"приступать","v",10.9,100,94,733,""
33823,"приступить","v",30.2,100,95,1779,""
33824,"приступка","s",0.4,25,80,29,""
33825,"приступочка","s",0.5,24,80,29,""
33826,"пристыдить","v",1.3,60,89,104,""
33827,"присудить","v",5.1,88,91,322,""
33828,"присуждать","v",1.2,56,88,96,""
33829,"присуждаться","v",1,45,86,73,""
33830,"присуждение","s",2.3,66,87,148,""
33831,"присутственный","a",0.9,49,86,63,""
33832,"присутствие","s",67.2,100,95,2682,""
33833,"присутствовать","v",72.5,100,96,3214,""
33834,"присутствующий","a",3.8,88,93,262,""
33835,"присутствующий","s",5.6,95,93,342,""
33836,"присуще","adv",0.5,30,80,37,""
33837,"присущий","a",24.8,99,91,1322,""
33838,"присылать","v",10.3,100,93,637,""
33839,"присылка","s",0.4,25,80,30,""
33840,"присыпать","v",3,80,91,206,""
33841,"присяга","s",6.6,92,89,281,""
33842,"присягать","v",1.1,47,85,70,""
33843,"присягнуть","v",0.6,33,81,49,""
33844,"присяжный","a",5.3,63,48,111,""
33845,"присяжный","s",6.1,64,73,143,""
33846,"притаиться","v",5,84,90,306,""
33847,"приталить","v",0.7,35,76,41,""
33848,"пританцовывать","v",2.1,71,90,152,""
33849,"притаскивать","v",0.6,38,84,50,""
33850,"притащить","v",7.3,89,91,423,""
33851,"притащиться","v",1.2,44,84,82,""
33852,"притвор","s",1.1,42,75,55,""
33853,"притворить","v",1.3,41,84,92,""
33854,"притвориться","v",3.3,78,90,225,""
33855,"притворно","adv",1.8,52,86,121,""
33856,"притворный","a",1.6,62,88,113,""
33857,"притворство","s",2,67,86,123,""
33858,"притворяться","v",10.8,94,91,511,""
33859,"притереть","v",0.4,22,75,28,""
33860,"притереться","v",0.9,54,88,74,""
33861,"притерпеться","v",1.2,58,88,89,""
33862,"притеснение","s",1.1,51,87,86,""
33863,"притеснять","v",1,51,88,86,""
33864,"притираться","v",0.4,31,83,39,""
33865,"притирка","s",0.7,38,84,51,""
33866,"притиснуть","v",1.3,40,82,87,""
33867,"притихнуть","v",11.4,86,90,511,""
33868,"приткнуть","v",0.9,37,83,63,""
33869,"приткнуться","v",2,65,86,140,""
33870,"приток","s",11.2,88,90,605,""
33871,"притолока","s",1.2,50,86,89,""
33872,"притом","conj",14.3,99,93,673,""
33873,"притомиться","v",1.1,45,85,85,""
33874,"притон","s",2.2,79,90,145,""
33875,"притоп","s",0.4,24,80,29,""
33876,"притопать","v",0.4,25,79,30,""
33877,"притопить","v",0.5,29,79,34,""
33878,"притопнуть","v",0.6,28,80,46,""
33879,"притоптать","v",0.4,21,74,26,""
33880,"притоптывать","v",0.4,25,81,30,""
33881,"притопывать","v",0.7,34,83,50,""
33882,"приторговывать","v",0.7,42,86,56,""
33883,"притормаживать","v",1.6,64,90,122,""
33884,"притормозить","v",5.2,84,91,330,""
33885,"приторно","adv",0.5,31,83,41,""
33886,"приторный","a",1.6,62,88,125,""
33887,"приторочить","v",0.7,34,82,49,""
33888,"притрагиваться","v",1.3,50,85,93,""
33889,"притронуться","v",2.5,65,88,164,""
33890,"притулиться","v",1.6,60,87,118,""
33891,"притундровый","a",0.5,5,17,5,""
33892,"притупить","v",1.7,60,64,89,""
33893,"притупиться","v",1,48,87,85,""
33894,"притуплять","v",0.7,50,89,60,""
33895,"притупляться","v",0.7,47,87,56,""
33896,"притушить","v",1.1,57,88,92,""
33897,"притча","s",10.9,95,72,490,""
33898,"притягательность","s",1.2,59,89,99,""
33899,"притягательный","a",4,90,93,285,""
33900,"притягивать","v",8.7,96,95,570,""
33901,"притягиваться","v",0.8,39,81,50,""
33902,"притяжение","s",5.2,91,90,308,""
33903,"притязание","s",5.1,83,80,275,""
33904,"притянуть","v",4.6,81,89,280,""
33905,"приукрасить","v",1,57,89,85,""
33906,"приукрашивать","v",0.7,43,86,60,""
33907,"приумножать","v",0.6,37,85,49,""
33908,"приумножение","s",0.7,41,84,59,""
33909,"приумножить","v",1.1,62,89,93,""
33910,"приуныть","v",1.6,58,88,116,""
33911,"приурочить","v",5.3,79,90,388,""
33912,"приусадебный","a",2.1,66,88,142,""
33913,"приутихнуть","v",0.4,29,82,36,""
33914,"приучать","v",4.8,96,90,297,""
33915,"приучаться","v",0.8,45,84,58,""
33916,"приучить","v",9.4,98,94,567,""
33917,"приучиться","v",0.6,38,85,55,""
33918,"прифронтовой","a",1.1,49,86,73,""
33919,"прихвастнуть","v",0.4,31,83,35,""
33920,"прихватить","v",14.7,95,92,725,""
33921,"прихватывать","v",1.8,67,89,143,""
33922,"прихвостень","s",0.5,30,81,36,""
33923,"прихлебатель","s",0.6,37,82,47,""
33924,"прихлебывать","v",2.6,62,88,162,""
33925,"прихлопнуть","v",2.3,64,88,173,""
33926,"прихлопывать","v",0.5,32,82,44,""
33927,"приход","s",40.8,100,94,1885,""
33928,"приходить","v",218.2,100,96,5596,""
33929,"приходиться","v",174.5,100,97,6442,""
33930,"приходский","a",2.3,51,80,115,""
33931,"приходящий","a",1.4,66,88,109,""
33932,"прихожанин","s",6.8,85,86,291,""
33933,"прихожанка","s",0.8,29,73,45,""
33934,"прихожая","s",21.1,89,89,657,""
33935,"прихорашиваться","v",0.7,51,89,64,""
33936,"прихотливо","adv",0.6,38,85,50,""
33937,"прихотливый","a",2,77,90,152,""
33938,"прихоть","s",5.6,95,93,378,""
33939,"прихрамывать","v",3,75,90,203,""
33940,"прицел","s",9.3,94,91,414,""
33941,"прицеливание","s",1,27,73,38,""
33942,"прицеливаться","v",1,50,87,79,""
33943,"прицелиться","v",2.7,62,88,180,""
33944,"прицельно","adv",0.8,42,84,62,""
33945,"прицельный","a",2.9,80,89,162,""
33946,"прицениваться","v",0.7,43,86,61,""
33947,"прицеп","s",4.2,81,88,182,""
33948,"прицепить","v",2.7,82,90,176,""
33949,"прицепиться","v",2.1,58,87,152,""
33950,"прицепной","a",0.6,28,62,42,""
33951,"причал","s",9.7,90,85,308,""
33952,"причаливать","v",0.8,44,84,56,""
33953,"причалить","v",2.1,70,88,134,""
33954,"причальный","a",1,32,57,43,""
33955,"причастие","s",2.6,70,77,143,""
33956,"причастить","v",0.4,17,55,27,""
33957,"причаститься","v",1.5,44,73,91,""
33958,"причастник","s",0.7,9,41,54,""
33959,"причастность","s",7.7,96,91,496,""
33960,"причастный","a",8.4,98,95,543,""
33961,"причащать","v",0.4,22,72,30,""
33962,"причащаться","v",1.7,46,68,97,""
33963,"причащение","s",1.7,22,54,77,""
33964,"причем","conj",174.4,100,95,7310,""
33965,"причесанный","a",0.4,26,81,33,""
33966,"причесать","v",3.8,84,88,235,""
33967,"причесаться","v",1.4,49,86,105,""
33968,"прическа","s",15.4,96,93,664,""
33969,"причесывать","v",0.7,41,85,60,""
33970,"причесываться","v",1.7,58,87,125,""
33971,"причина","s",237.2,100,95,8118,""
33972,"причиндалы","s",0.7,40,85,55,""
33973,"причинение","s",5.6,56,54,182,""
33974,"причинитель","s",0.6,11,36,16,""
33975,"причинить","v",16.7,99,71,701,""
33976,"причинно-следственный","a",2.5,66,84,154,""
33977,"причинность","s",1.3,34,77,55,""
33978,"причинный","a",2.4,60,80,111,""
33979,"причинять","v",6.1,97,93,388,""
33980,"причислить","v",3.4,85,91,269,""
33981,"причислять","v",2.8,77,91,229,""
33982,"причисляться","v",0.4,31,82,38,""
33983,"причитание","s",2.2,69,88,137,""
33984,"причитать","v",3.9,79,90,263,""
33985,"причитаться","v",5.1,89,85,301,""
33986,"причмокивать","v",1.7,59,87,131,""
33987,"причмокнуть","v",0.5,23,77,35,""
33988,"причт","s",0.6,25,77,32,""
33989,"причуда","s",3.5,92,92,243,""
33990,"причудливо","adv",2.8,89,93,211,""
33991,"причудливый","a",9.8,99,95,600,""
33992,"пришвартоваться","v",0.5,31,81,32,""
33993,"пришелец","s",9.3,91,84,392,""
33994,"пришествие","s",3.4,77,86,219,""
33995,"пришибить","v",1.1,47,85,83,""
33996,"пришибленный","a",0.8,40,85,62,""
33997,"пришивать","v",1.8,68,89,124,""
33998,"пришить","v",5.9,92,92,365,""
33999,"пришлый","a",2.4,85,90,157,""
34000,"пришпилить","v",1.1,51,86,80,""
34001,"пришпорить","v",0.7,38,84,48,""
34002,"прищелкивать","v",0.4,22,78,28,""
34003,"прищелкнуть","v",0.6,29,80,48,""
34004,"прищемить","v",1.2,46,85,86,""
34005,"прищепка","s",0.5,35,85,38,""
34006,"прищур","s",2.1,66,89,152,""
34007,"прищуриваться","v",0.6,34,83,47,""
34008,"прищурить","v",3.7,69,87,217,""
34009,"прищуриться","v",8.7,73,88,360,""
34010,"прищучить","v",0.7,35,80,48,""
34011,"приют","s",9.3,98,92,453,""
34012,"приютить","v",3.6,84,92,242,""
34013,"приютиться","v",0.7,43,85,58,""
34014,"приязнь","s",1.5,58,87,106,""
34015,"приятель","s",53.9,99,93,1460,""
34016,"приятельница","s",6.5,90,92,316,""
34017,"приятельский","a",1.7,65,89,121,""
34018,"приятельство","s",0.6,32,82,42,""
34019,"приятельствовать","v",0.4,25,79,30,""
34020,"приятие","s",1.1,53,85,77,""
34021,"приятнейший","a",0.4,25,80,34,""
34022,"приятно","adv",50.6,100,95,2027,""
34023,"приятность","s",1.6,64,88,117,""
34024,"приятный","a",72.7,100,96,2787,""
34025,"приять","v",3,80,88,214,""
34026,"про","pr",392.1,100,94,5755,""
34027,"проамериканский","a",0.5,29,82,39,""
34028,"проанализировать","v",13.6,99,89,982,""
34029,"проба","s",23.5,100,88,879,""
34030,"пробавляться","v",0.8,40,80,62,""
34031,"пробасить","v",1.9,45,83,92,""
34032,"пробег","s",5.1,76,87,288,""
34033,"пробегать","v",7.6,92,93,468,""
34034,"пробежать","v",14.7,96,92,731,""
34035,"пробежаться","v",1.6,69,91,124,""
34036,"пробежка","s",2.3,79,91,159,""
34037,"пробел","s",6.3,93,90,436,""
34038,"пробивать","v",6.5,97,94,439,""
34039,"пробиваться","v",11.5,97,93,640,""
34040,"пробивной","a",0.9,44,83,65,""
34041,"пробирать","v",1.2,53,86,89,""
34042,"пробираться","v",11.7,91,91,583,""
34043,"пробирка","s",3.4,79,85,186,""
34044,"пробить","v",18,98,95,878,""
34045,"пробиться","v",12.8,94,94,692,""
34046,"пробка","s",21.3,100,93,892,""
34047,"пробковый","a",1.5,44,71,67,""
34048,"проблема","s",474.9,100,93,12849,""
34049,"проблематика","s",8.2,70,83,442,""
34050,"проблематично","adv",0.4,25,77,32,""
34051,"проблематичный","a",3.7,80,91,298,""
34052,"проблемно-ориентированный","a",0.4,12,65,21,""
34053,"проблемный","a",7.6,77,89,463,""
34054,"проблеск","s",2.7,85,91,195,""
34055,"проблесковый","a",0.4,19,75,27,""
34056,"проблеять","v",0.5,29,82,35,""
34057,"пробник","s",0.9,12,27,14,""
34058,"пробный","a",6.2,95,89,373,""
34059,"пробовать","v",35.7,99,93,1454,""
34060,"пробоваться","v",1.1,35,80,56,""
34061,"пробоина","s",2.8,75,89,167,""
34062,"пробой","s",1.4,43,81,64,""
34063,"проболтаться","v",1.8,62,88,136,""
34064,"пробор","s",3.3,73,86,180,""
34065,"пробормотать","v",30.2,83,86,618,""
34066,"пробрать","v",0.7,37,84,62,""
34067,"пробраться","v",8.5,92,92,472,""
34068,"пробубнить","v",0.9,37,82,61,""
34069,"пробудить","v",4.1,93,93,298,""
34070,"пробудиться","v",3.5,83,91,244,""
34071,"пробуждать","v",3,91,93,224,""
34072,"пробуждаться","v",3.1,86,92,230,""
34073,"пробуждение","s",6.6,97,93,399,""
34074,"пробуксовка","s",0.9,37,81,60,""
34075,"пробуксовывать","v",0.7,42,85,57,""
34076,"пробурить","v",1.4,49,83,89,""
34077,"пробурчать","v",5.1,68,87,246,""
34078,"пробыть","v",10.1,95,93,555,""
34079,"провайдер","s",1.8,41,76,71,""
34080,"провал","s",22.7,100,95,1217,""
34081,"проваливать","v",1.6,59,87,115,""
34082,"проваливаться","v",8.1,95,93,481,""
34083,"провалить","v",4.1,89,93,281,""
34084,"провалиться","v",20.5,99,94,1009,""
34085,"провальный","a",1.6,62,88,133,""
34086,"проваляться","v",1.3,53,87,106,""
34087,"провансаль","s",0.4,16,69,17,""
34088,"проварить","v",0.4,20,71,23,""
34089,"проведать","v",4,84,91,252,""
34090,"проведение","s",120.6,96,86,4826,""
34091,"провезти","v",1.3,63,89,107,""
34092,"проверенный","a",4.1,93,93,304,""
34093,"проверить","v",66.1,100,96,2686,""
34094,"провериться","v",0.5,25,79,32,""
34095,"проверка","s",64.2,100,91,2665,""
34096,"провернуть","v",2.5,79,89,164,""
34097,"проверочный","a",1.2,53,83,76,""
34098,"проверять","v",42.9,100,96,1858,""
34099,"проверяться","v",5.3,92,90,383,""
34100,"проверяющий","s",0.4,29,83,37,""
34101,"провести","v",222,100,95,8931,""
34102,"проветривание","s",1.4,44,74,54,""
34103,"проветривать","v",1.4,60,88,96,""
34104,"проветриваться","v",0.6,37,83,49,""
34105,"проветрить","v",1.2,57,84,84,""
34106,"проветриться","v",1,44,85,80,""
34107,"провиант","s",1.4,54,87,85,""
34108,"провидение","s",3.6,79,87,182,""
34109,"провиденциальный","a",0.4,24,79,30,""
34110,"провидеть","v",0.8,45,85,59,""
34111,"провидец","s",1.4,60,86,96,""
34112,"провидческий","a",0.6,33,82,49,""
34113,"провизия","s",1.3,55,87,90,""
34114,"провизор","s",0.6,33,76,39,""
34115,"провиниться","v",4,91,92,276,""
34116,"провинность","s",1.5,62,89,102,""
34117,"провинциал","s",3.6,78,90,202,""
34118,"провинциализм","s",0.5,31,82,36,""
34119,"провинциалка","s",0.7,29,76,39,""
34120,"провинциальность","s",0.7,33,81,45,""
34121,"провинциальный","a",16.7,100,94,842,""
34122,"провинция","s",23.8,100,93,1140,""
34123,"провирус","s",1.4,6,28,9,""
34124,"провирусный","a",0.6,6,39,11,""
34125,"провисать","v",1.1,59,88,91,""
34126,"провисеть","v",0.6,36,84,52,""
34127,"провиснуть","v",1.2,40,81,81,""
34128,"провод","s",26.5,99,94,1056,""
34129,"проводимость","s",2.6,20,65,79,""
34130,"проводить","v",167.6,100,95,6915,""
34131,"проводиться","v",63.7,100,90,3424,""
34132,"проводка","s",3,82,88,180,""
34133,"проводник","s",15.1,97,91,585,""
34134,"проводница","s",3,63,84,124,""
34135,"проводной","a",0.8,33,74,51,""
34136,"проводок","s",1.1,56,87,76,""
34137,"проводящий","a",1.9,34,65,70,""
34138,"провоевать","v",0.5,28,77,40,""
34139,"провожатый","s",2.2,65,88,130,""
34140,"провожать","v",30,98,93,1090,""
34141,"провоз","s",0.7,30,71,46,""
34142,"провозвестник","s",0.6,35,83,48,""
34143,"провозгласить","v",13.9,98,94,791,""
34144,"провозглашать","v",5.7,97,89,383,""
34145,"провозглашаться","v",1.2,58,88,92,""
34146,"провозглашение","s",2.1,63,85,142,""
34147,"провозить","v",0.6,35,79,47,""
34148,"провозиться","v",1.2,55,88,102,""
34149,"провокатор","s",4.4,82,89,207,""
34150,"провокационный","a",3.4,83,90,230,""
34151,"провокация","s",11.9,95,92,535,""
34152,"проволока","s",19.7,97,93,741,""
34153,"проволочка","s",3,87,91,214,""
34154,"проволочный","a",3.6,88,91,223,""
34155,"провонять","v",0.8,39,83,60,""
34156,"проворачивать","v",0.8,40,84,57,""
34157,"проворачиваться","v",0.4,28,81,34,""
34158,"проворковать","v",0.7,29,79,50,""
34159,"проворно","adv",3,58,86,167,""
34160,"проворный","a",2.7,74,90,197,""
34161,"провороваться","v",0.6,41,86,53,""
34162,"проворонить","v",1,52,85,73,""
34163,"проворство","s",0.6,37,83,50,""
34164,"проворчать","v",7.2,65,87,263,""
34165,"провоцировать","v",8.5,97,93,579,""
34166,"прогадать","v",1,51,86,78,""
34167,"прогал","s",0.5,21,72,29,""
34168,"прогалина","s",0.9,45,82,64,""
34169,"прогиб","s",1.1,29,66,47,""
34170,"прогибаться","v",1.7,69,89,126,""
34171,"проглатывать","v",1.7,70,90,143,""
34172,"проглотить","v",14.1,96,91,664,""
34173,"проглядеть","v",2.2,74,90,154,""
34174,"проглядывать","v",3.8,87,93,263,""
34175,"проглядываться","v",0.8,50,87,65,""
34176,"проглянуть","v",0.9,46,86,77,""
34177,"прогнать","v",9.7,96,91,544,""
34178,"прогнить","v",1.7,71,91,143,""
34179,"прогноз","s",40.4,99,91,2001,""
34180,"прогнозирование","s",9.9,63,77,428,""
34181,"прогнозировать","v",10.5,76,89,749,""
34182,"прогнозироваться","v",1.4,46,85,108,""
34183,"прогнозный","a",3.9,46,76,173,""
34184,"прогностический","a",1.2,25,75,65,""
34185,"прогнусавить","v",0.4,16,66,22,""
34186,"прогнуться","v",1.4,56,88,99,""
34187,"проговаривать","v",1.1,57,88,88,""
34188,"проговариваться","v",1.1,61,89,84,""
34189,"проговорить","v",42.1,90,86,671,""
34190,"проговориться","v",3.3,79,89,209,""
34191,"проголодаться","v",3.2,83,91,242,""
34192,"проголосовать","v",13.2,91,90,788,""
34193,"прогон","s",2.8,67,86,133,""
34194,"прогонять","v",3.2,82,91,217,""
34195,"прогорать","v",0.5,32,83,41,""
34196,"прогореть","v",2,69,89,140,""
34197,"прогорклый","a",0.6,37,83,46,""
34198,"программа","s",282.6,100,92,8148,""
34199,"программирование","s",5.7,62,79,246,""
34200,"программировать","v",1.4,58,86,100,""
34201,"программист","s",5.5,77,86,249,""
34202,"программка","s",3,68,88,162,""
34203,"программно","adv",0.4,22,67,33,""
34204,"программно-аппаратный","a",0.6,25,77,37,""
34205,"программно-технический","a",0.4,12,58,24,""
34206,"программно-технологический","a",0.5,11,65,24,""
34207,"программно-целевой","a",0.4,9,36,13,""
34208,"программный","a",28.6,85,82,1085,""
34209,"прогрев","s",1,35,78,54,""
34210,"прогревание","s",0.6,25,78,40,""
34211,"прогревать","v",1.1,51,83,77,""
34212,"прогреваться","v",0.8,42,80,57,""
34213,"прогреметь","v",3.5,80,92,257,""
34214,"прогресс","s",28.5,100,92,1410,""
34215,"прогрессивно","adv",0.4,31,84,37,""
34216,"прогрессивный","a",16.5,96,92,917,""
34217,"прогрессирование","s",0.4,13,61,24,""
34218,"прогрессировать","v",2.1,73,90,164,""
34219,"прогрессирующий","a",1.4,65,88,108,""
34220,"прогрессист","s",0.6,31,77,37,""
34221,"прогрессия","s",1.4,56,84,99,""
34222,"прогреть","v",2.3,78,81,134,""
34223,"прогреться","v",0.8,48,87,67,""
34224,"прогрохотать","v",0.6,32,83,50,""
34225,"прогрызть","v",0.4,28,81,32,""
34226,"прогудеть","v",1.7,47,84,102,""
34227,"прогул","s",1.5,69,88,108,""
34228,"прогуливать","v",2,70,90,151,""
34229,"прогуливаться","v",7.8,94,93,506,""
34230,"прогулка","s",29.6,100,96,1241,""
34231,"прогулочный","a",2.8,80,90,185,""
34232,"прогульщик","s",0.5,36,85,41,""
34233,"прогулять","v",1.3,61,89,105,""
34234,"прогуляться","v",6.2,91,93,405,""
34235,"продавать","v",56.3,100,95,2645,""
34236,"продаваться","v",25.8,100,93,1539,""
34237,"продавец","s",36.9,100,88,1313,""
34238,"продавить","v",2.7,77,91,190,""
34239,"продавливать","v",0.6,38,85,49,""
34240,"продавщица","s",13.7,91,89,463,""
34241,"продажа","s",87.3,100,91,3607,""
34242,"продажность","s",1,52,86,79,""
34243,"продажный","a",4.6,91,92,286,""
34244,"продать","v",68.3,100,96,2744,""
34245,"продаться","v",1.5,72,90,119,""
34246,"продвигать","v",4.5,77,90,361,""
34247,"продвигаться","v",9.6,100,94,599,""
34248,"продвижение","s",18.3,98,92,1143,""
34249,"продвинутый","a",3.6,80,90,287,""
34250,"продвинуть","v",5.3,87,92,423,""
34251,"продвинуться","v",6,99,94,417,""
34252,"продевать","v",0.4,31,84,39,""
34253,"продезинфицировать","v",0.4,28,83,32,""
34254,"продекламировать","v",1.5,48,85,103,""
34255,"продекларировать","v",0.6,31,81,51,""
34256,"проделать","v",18,98,96,1049,""
34257,"проделка","s",2.2,83,92,159,""
34258,"проделывать","v",5.4,94,94,360,""
34259,"проделываться","v",0.4,23,73,26,""
34260,"продемонстрировать","v",25.1,100,93,1644,""
34261,"продержать","v",2.2,77,90,166,""
34262,"продержаться","v",8.1,97,95,518,""
34263,"продернуть","v",0.4,22,77,28,""
34264,"продеть","v",1.3,53,87,94,""
34265,"продешевить","v",0.5,34,83,46,""
34266,"продиктовать","v",7.6,100,94,489,""
34267,"продирать","v",0.5,32,83,42,""
34268,"продираться","v",2.9,76,89,206,""
34269,"продирижировать","v",0.4,20,77,27,""
34270,"продлевать","v",3.3,85,92,253,""
34271,"продлеваться","v",0.8,41,79,65,""
34272,"продление","s",6.7,85,82,375,""
34273,"продлить","v",11.2,100,93,758,""
34274,"продлиться","v",5.6,98,93,426,""
34275,"продмаг","s",0.4,28,82,32,""
34276,"продовольственный","a",12.1,96,92,598,""
34277,"продовольствие","s",10.2,95,89,480,""
34278,"продолговатый","a",5.7,85,85,278,""
34279,"продолжатель","s",2.3,69,89,174,""
34280,"продолжать","v",240.6,100,97,6302,""
34281,"продолжаться","v",69.9,100,96,3405,""
34282,"продолжение","s",42.5,100,95,2375,""
34283,"продолжительно","adv",0.4,27,82,31,""
34284,"продолжительность","s",15.9,92,87,851,""
34285,"продолжительный","a",10.2,98,93,704,""
34286,"продолжить","v",48.8,100,96,2377,""
34287,"продолжиться","v",5.4,90,91,420,""
34288,"продольно","adv",0.4,11,38,12,""
34289,"продольный","a",7.7,88,73,299,""
34290,"продохнуть","v",0.8,46,86,71,""
34291,"продпункт","s",0.4,9,50,9,""
34292,"продразверстка","s",0.4,25,80,27,""
34293,"продрать","v",1.4,49,87,109,""
34294,"продраться","v",0.8,50,87,71,""
34295,"продрогнуть","v",2.5,70,89,175,""
34296,"продублировать","v",0.6,38,85,49,""
34297,"продувать","v",2.1,67,89,147,""
34298,"продувка","s",1.5,31,42,44,""
34299,"продувной","a",0.4,23,78,28,""
34300,"продувочный","a",0.5,7,20,8,""
34301,"продукт","s",136.7,100,91,4209,""
34302,"продуктивно","adv",1.2,57,87,99,""
34303,"продуктивность","s",6,59,78,256,""
34304,"продуктивный","a",7.4,78,84,439,""
34305,"продуктовый","a",5,95,94,325,""
34306,"продукционный","a",0.9,9,48,16,""
34307,"продукция","s",130.8,100,89,3824,""
34308,"продуманно","adv",0.7,44,86,56,""
34309,"продуманность","s",0.7,39,85,55,""
34310,"продуманный","a",3.9,93,93,297,""
34311,"продумать","v",13.6,100,95,839,""
34312,"продумывать","v",1.8,74,90,133,""
34313,"продуть","v",1.4,59,86,101,""
34314,"продуцент","s",0.8,18,69,37,""
34315,"продуцировать","v",2.8,35,70,108,""
34316,"продырявить","v",1.4,53,85,95,""
34317,"продых","s",0.4,27,82,32,""
34318,"продышаться","v",0.4,27,82,32,""
34319,"продюсер","s",12,74,86,456,""
34320,"продюсерский","a",1,32,82,81,""
34321,"проедать","v",0.7,41,86,57,""
34322,"проезд","s",15.7,99,92,884,""
34323,"проездной","a",1.9,64,86,122,""
34324,"проездной","s",0.5,26,80,35,""
34325,"проезжать","v",12,98,94,653,""
34326,"проезжающий","s",1.1,56,89,87,""
34327,"проезжий","a",5.1,91,92,337,""
34328,"проезжий","s",0.5,29,81,35,""
34329,"проект","s",225.9,100,92,6965,""
34330,"проектант","s",0.8,18,34,23,""
34331,"проективный","a",0.8,15,57,26,""
34332,"проектирование","s",20.3,67,85,824,""
34333,"проектировать","v",5,76,88,308,""
34334,"проектироваться","v",1.2,46,85,97,""
34335,"проектировщик","s",3.9,61,86,210,""
34336,"проектно-изыскательский","a",0.7,33,79,49,""
34337,"проектно-конструкторский","a",0.5,28,80,40,""
34338,"проектно-сметный","a",0.6,32,82,47,""
34339,"проектный","a",13.1,77,88,639,""
34340,"проектор","s",1.4,41,80,56,""
34341,"проекционный","a",0.7,30,76,36,""
34342,"проекция","s",4.4,77,85,232,""
34343,"проем","s",12.7,96,92,562,""
34344,"проесть","v",1.1,57,89,94,""
34345,"проехать","v",23.3,98,94,1102,""
34346,"проехаться","v",1.8,75,91,138,""
34347,"проецировать","v",0.8,40,82,62,""
34348,"проецироваться","v",0.9,39,83,65,""
34349,"прожарить","v",0.6,37,84,51,""
34350,"прождать","v",1.7,65,90,131,""
